x,y,z,cluster
6.73612,3.54444,-0.794367,1
7.00608,3.4163,-0.814367,1
1.77896,-6.14256,-0.661326,10
1.72608,-6.09979,-0.65524,10
1.68518,-6.09781,-0.653827,10
4.9638,4.71959,-0.796829,1
4.98761,4.68429,-0.795982,1
5.84951,3.90289,-0.819094,1
5.89159,3.87893,-0.821756,1
5.94524,3.86218,-0.826112,1
5.98387,3.83527,-0.82829,1
4.15276,4.75319,-0.807235,1
4.17725,4.72242,-0.806305,1
4.224,4.71664,-0.80989,1
4.48631,4.48471,-0.811484,1
4.52644,4.46963,-0.813874,1
4.56797,4.45562,-0.816529,1
4.60093,4.43301,-0.817591,1
5.42681,4.0751,-0.870834,1
5.46047,4.04822,-0.872295,1
5.50921,4.0322,-0.876278,1
5.55714,4.01515,-0.880129,1
5.59055,3.98731,-0.881589,1
5.64976,3.97746,-0.887298,1
5.69197,3.95516,-0.89022,1
5.73411,3.93249,-0.893141,1
5.77209,3.90668,-0.895398,1
2.36036,5.49576,-0.838336,1
2.91976,5.22013,-0.838336,1
2.94197,5.1849,-0.835436,1
2.97077,5.1616,-0.834565,1
2.99989,5.13901,-0.83384,1
3.03238,5.12221,-0.83413,1
3.06681,5.10859,-0.835,1
3.10066,5.09391,-0.835726,1
3.1303,5.07226,-0.83529,1
3.15874,5.04876,-0.834565,1
3.19284,5.0343,-0.835436,1
3.22956,5.02377,-0.837031,1
3.31873,4.95936,-0.836306,1
3.81821,1.31294,-0.602255,11
3.81309,1.28507,-0.60006,11
3.66814,-1.49369,-0.590027,12
3.65617,-1.51504,-0.589556,12
3.82207,1.31077,-0.651795,11
3.82443,1.28541,-0.650784,11
3.82101,1.25821,-0.648762,11
3.63955,-1.45958,-0.631408,12
3.64604,-1.48821,-0.634272,12
3.63775,-1.51094,-0.63444,12
3.78663,1.30061,-0.693592,11
3.802,1.27987,-0.695032,11
3.80698,1.25559,-0.694492,11
3.63564,-1.48193,-0.679371,12
3.61194,-1.49818,-0.676491,12
3.81136,1.33329,-0.750005,11
3.7842,1.29777,-0.742715,11
3.79302,1.27484,-0.742907,11
3.8073,1.25369,-0.74425,11
3.91018,1.26106,-0.763817,11
3.75045,-1.50402,-0.75058,12
3.63028,-1.48179,-0.727176,12
3.66463,-1.52209,-0.736384,12
3.65342,-1.54379,-0.736001,12
3.80072,1.33009,-0.795176,11
3.78473,1.29849,-0.789899,11
3.78335,1.27212,-0.78787,11
3.79666,1.25072,-0.789087,11
3.83129,1.23612,-0.794973,11
3.63672,-1.45788,-0.772648,12
3.61864,-1.47647,-0.770618,12
3.77236,1.26862,-0.836856,11
1.2742,2.06097,-0.906257,13
1.28732,2.0539,-0.906622,13
1.30189,2.04911,-0.90808,13
0.801737,-2.20847,-0.877457,-2
