x,y,z,cluster
8.47736,14.1309,-0.760352,34
8.55612,14.0658,-0.759627,34
8.6344,14.0003,-0.758902,34
8.72332,13.9521,-0.759192,34
8.80182,13.8874,-0.758563,34
8.88578,13.8314,-0.758467,34
8.96558,13.7691,-0.758032,34
9.02844,13.6813,-0.756147,34
9.10223,13.6107,-0.755277,34
9.17044,13.5323,-0.753972,34
9.25613,13.4799,-0.754214,34
9.36433,13.4597,-0.756389,34
9.46688,13.4306,-0.75808,34
9.5346,13.3519,-0.756872,34
9.60757,13.281,-0.756147,34
9.6812,13.2114,-0.755519,34
9.75911,13.1477,-0.755277,34
9.839,13.0868,-0.755229,34
9.91669,13.023,-0.755036,34
9.99031,12.954,-0.754552,34
10.0628,12.8838,-0.754021,34
10.138,12.8171,-0.753731,34
10.2139,12.7515,-0.753537,34
10.2926,12.6894,-0.753586,34
10.3741,12.6306,-0.753876,34
10.4584,12.5752,-0.754407,34
10.5392,12.5153,-0.754697,34
10.6081,12.4413,-0.754117,34
10.6712,12.3609,-0.753151,34
10.7383,12.2854,-0.752523,34
10.8121,12.2178,-0.752426,34
10.8969,12.1624,-0.753151,34
10.9773,12.1019,-0.753586,34
11.0494,12.0321,-0.753441,34
11.1189,11.9597,-0.753151,34
11.1797,11.8782,-0.752281,34
11.2283,11.7841,-0.75059,34
11.2872,11.7013,-0.749671,34
11.356,11.6289,-0.749478,34
11.4363,11.5683,-0.750106,34
11.5198,11.5106,-0.750976,34
11.5944,11.4439,-0.751266,34
11.6394,11.3481,-0.749575,34
11.6736,11.2426,-0.747207,34
11.7228,11.1521,-0.745902,34
11.8194,11.1067,-0.747787,34
11.9298,11.0733,-0.75059,34
11.9968,10.9993,-0.750541,34
12.0588,10.9208,-0.750203,34
12.0854,10.8106,-0.747593,34
12.2114,10.7891,-0.751459,34
12.2811,10.7173,-0.751701,34
12.3512,10.6457,-0.751991,34
12.4064,10.5613,-0.751363,34
12.4633,10.4785,-0.750879,34
14.7159,6.84277,-0.74827,35
14.6994,6.72575,-0.745177,35
14.7086,6.62108,-0.743486,35
14.7352,6.52463,-0.742761,35
14.7576,6.42652,-0.741842,35
15.4817,3.97249,-0.736381,36
15.5698,3.89342,-0.739571,36
15.6235,3.80514,-0.741069,36
15.6582,3.71197,-0.741649,36
15.706,3.62166,-0.742906,36
15.7708,3.53484,-0.745032,36
15.8332,3.44693,-0.747062,36
15.8872,3.35674,-0.748705,36
15.9525,3.26842,-0.750928,36
16.0272,3.18137,-0.753634,36
16.1003,3.09334,-0.756292,36
16.1799,3.0058,-0.759288,36
16.26,2.91759,-0.762333,36
16.3602,2.83208,-0.766392,36
16.4305,2.74052,-0.769002,36
16.5042,2.64884,-0.771805,36
15.9267,-1.97083,-0.739523,37
15.8509,-2.06028,-0.73643,37
15.7618,-2.14713,-0.732709,37
15.6682,-2.2324,-0.728794,37
15.5712,-2.31615,-0.724735,37
15.4797,-2.39972,-0.720965,37
15.3927,-2.48305,-0.717437,37
15.3112,-2.5664,-0.714199,37
15.2174,-2.64678,-0.710382,37
15.1242,-2.72629,-0.706612,37
15.0424,-2.80695,-0.703423,37
14.9455,-2.88387,-0.699508,37
14.856,-2.96128,-0.69598,37
14.7867,-3.04191,-0.693467,37
14.7091,-3.12015,-0.690568,37
14.0637,-4.08459,-0.671624,38
14.0259,-4.16711,-0.670995,38
13.9819,-4.24758,-0.670077,38
13.9365,-4.32737,-0.669111,38
13.8802,-4.40344,-0.667612,38
13.814,-4.4759,-0.665631,38
13.7891,-4.56152,-0.665776,38
13.7428,-4.63997,-0.664858,38
13.6962,-4.71803,-0.66394,38
13.6632,-4.80066,-0.663746,38
13.626,-4.88171,-0.66336,38
13.576,-4.95803,-0.662345,38
13.5042,-5.02591,-0.660218,38
13.4292,-5.09204,-0.657947,38
13.3576,-5.15887,-0.655869,38
13.3322,-5.24329,-0.656207,38
13.2757,-5.31535,-0.654951,38
13.2373,-5.39444,-0.654661,38
13.167,-5.46026,-0.652728,38
13.0992,-5.52659,-0.65094,38
13.0513,-5.60095,-0.650215,38
13.0149,-5.68013,-0.650118,38
12.9615,-5.75178,-0.649152,38
12.8895,-5.81477,-0.647219,38
12.8382,-5.88668,-0.646397,38
12.7991,-5.96408,-0.646252,38
12.7496,-6.03651,-0.645575,38
12.6916,-6.10467,-0.644464,38
12.6261,-6.16884,-0.642966,38
12.5773,-6.24087,-0.642386,38
12.5102,-6.30355,-0.640839,38
12.4402,-6.36427,-0.639148,38
12.3876,-6.43358,-0.638423,38
12.3329,-6.50155,-0.637601,38
