x,y,z
1.69339,-1.61658,-0.589948
1.22399,2.94965,-0.858234
1.24581,2.95095,-0.860943
1.45161,2.96935,-0.889662
1.47409,2.96901,-0.892372
1.49575,2.96678,-0.894539
1.79599,-1.64996,-0.64582
1.6914,-1.57309,-0.609514
1.67751,-1.57948,-0.607889
1.67406,-1.59572,-0.610327
1.7328,-1.67215,-0.63715
1.01995,2.95142,-0.87647
1.03804,2.94511,-0.87647
1.05739,2.94229,-0.877597
1.13551,2.93156,-0.88267
1.15735,2.93436,-0.88577
1.17783,2.93344,-0.887743
1.20741,2.95458,-0.896762
1.2211,2.93648,-0.89338
1.24208,2.93601,-0.895635
1.40297,2.90956,-0.908036
1.74075,1.35417,-0.607032
1.74218,1.3382,-0.604495
1.75036,1.32748,-0.604495
1.879,1.40707,-0.648744
1.71875,-1.58191,-0.645362
1.67812,-1.56366,-0.632961
1.66849,-1.57393,-0.632961
1.65949,-1.5848,-0.633243
1.67803,-1.62228,-0.644798
1.00456,2.9124,-0.901463
1.02336,2.90889,-0.902341
1.04475,2.91245,-0.905559
1.11418,2.88148,-0.904096
1.13219,2.87547,-0.904388
1.15337,2.87735,-0.907314
1.17354,2.87642,-0.909362
1.72714,1.34578,-0.628817
1.73916,1.33807,-0.63028
1.74581,1.32622,-0.629695
1.7585,1.31892,-0.63145
1.69314,-1.55598,-0.662459
1.68006,-1.56308,-0.660996
1.67113,-1.57402,-0.661289
1.66144,-1.58424,-0.661289
1.67439,-1.61633,-0.670943
1.85228,1.45937,-0.709557
1.73565,1.3502,-0.658895
1.7371,1.3343,-0.656164
1.74754,1.32534,-0.657075
1.7503,1.31059,-0.654951
1.6855,-1.57054,-0.692265
1.66959,-1.57497,-0.689535
1.70884,-1.63188,-0.711074
1.95927,1.54489,-0.783283
1.71995,1.33922,-0.679092
1.72437,1.32575,-0.677523
1.73323,1.31572,-0.677837
1.73975,1.30392,-0.677209
1.74772,1.29322,-0.677209
1.73137,-1.63191,-0.744996
1.7059,1.34392,-0.70322
1.71636,1.33517,-0.704193
1.72302,1.32347,-0.703544
1.73035,1.3123,-0.70322
1.73913,1.30222,-0.703544
1.75621,1.29828,-0.707437
1.63519,-1.52371,-0.724955
1.62237,-1.53047,-0.723333
1.71237,1.35027,-0.732151
1.71764,1.33743,-0.730813
1.72582,1.32686,-0.730813
1.73618,1.31796,-0.731816
1.74348,1.30671,-0.731482
1.75146,1.29599,-0.731482
1.83845,-1.64956,-0.834831
1.71889,-1.58076,-0.787003
1.66778,-1.55274,-0.766935
1.66028,-1.56488,-0.767938
1.65678,-1.5809,-0.770949
1.68365,-1.6264,-0.78901
1.69789,-1.66042,-0.80105
1.74976,1.3965,-0.780389
1.70377,1.34272,-0.754874
1.70457,1.32647,-0.751426
1.71044,1.31427,-0.750391
1.7252,1.30886,-0.753494
1.73095,1.29656,-0.75246
1.7434,1.28926,-0.754529
1.65028,-1.59493,-0.801078
1.72156,1.30734,-0.77811
1.7303,1.29731,-0.778465
1.72779,1.36119,-0.818765
0.799828,-2.20322,-0.87527
0.784417,-2.20282,-0.873083
