x,y,z
2.46964,3.19969,-0.554044
2.47826,3.17044,-0.551434
2.4946,3.1513,-0.550708
2.5108,3.13207,-0.549983
2.52935,3.11584,-0.549838
2.54967,3.10179,-0.550128
3.82658,3.13569,-0.686762
3.79346,3.06981,-0.676899
3.80759,3.04277,-0.676029
4.76989,2.85437,-0.776401
4.83333,2.85221,-0.784234
5.24561,2.84064,-0.836016
5.28825,2.82191,-0.840222
1.49807,3.95397,-0.632514
1.5376,3.98432,-0.639255
2.03574,3.86405,-0.65462
2.07757,3.88545,-0.660734
2.06793,3.811,-0.649603
2.0927,3.80084,-0.650073
2.13284,3.8181,-0.65556
2.13627,3.15414,-0.566039
2.14888,3.1312,-0.564158
2.16466,3.11309,-0.563217
2.17917,3.09329,-0.561963
2.1941,3.07424,-0.560866
2.2679,3.13674,-0.57576
2.49667,3.1581,-0.600374
2.5018,3.12499,-0.596768
2.51657,3.10421,-0.595671
2.52931,3.08108,-0.594103
2.54501,3.0617,-0.593319
2.56247,3.04452,-0.593005
4.018,2.90323,-0.748217
4.04941,2.88827,-0.750882
1.61793,3.11073,-0.560474
2.14731,3.12327,-0.608999
2.15686,3.09628,-0.606134
2.169,3.07332,-0.604112
2.18323,3.05354,-0.602764
2.19961,3.03689,-0.60209
2.55982,3.23258,-0.665948
2.50379,3.12221,-0.645224
2.51606,3.09837,-0.64337
2.5319,3.07906,-0.642528
2.54507,3.05665,-0.641011
2.5587,3.03495,-0.639664
2.58367,3.02669,-0.641348
2.76421,2.93358,-0.65011
2.78828,2.92299,-0.651626
2.81301,2.91292,-0.653311
2.85563,2.92098,-0.659377
2.88251,2.91252,-0.661567
3.54702,2.94202,-0.748845
3.70791,2.88818,-0.764514
3.75134,2.88522,-0.770074
3.79095,2.87884,-0.774792
4.43235,2.83941,-0.86089
4.44053,2.80637,-0.859037
2.13523,3.10901,-0.651111
2.14753,3.08616,-0.648951
2.16075,3.06489,-0.647151
2.16808,3.03557,-0.64355
2.17456,3.00547,-0.63977
2.19645,2.99683,-0.64085
2.53024,3.08003,-0.690352
2.53462,3.04706,-0.686211
2.52539,2.99835,-0.678291
2.54118,2.9798,-0.677571
2.5427,2.9448,-0.672891
2.53806,2.90322,-0.666591
2.75716,2.92887,-0.697012
2.7839,2.92115,-0.699352
2.80929,2.9118,-0.701332
2.87728,2.94588,-0.714472
2.88838,2.92117,-0.712672
2.95567,2.95275,-0.725452
3.34224,2.88013,-0.768293
3.36809,2.86658,-0.770273
3.41122,2.86738,-0.776394
3.53146,2.85918,-0.792414
3.83436,2.84075,-0.834175
3.88586,2.84213,-0.841915
4.1051,2.81334,-0.871616
2.15147,3.08854,-0.696482
2.52207,2.88208,-0.709335
2.52995,2.85553,-0.706458
2.53236,2.82314,-0.702045
2.54897,2.80682,-0.701854
2.70692,2.94434,-0.742523
2.81108,2.91092,-0.751731
2.90029,2.89474,-0.761707
2.95363,2.91204,-0.77149
2.97074,2.89318,-0.771299
3.30094,2.842,-0.81216
3.35121,2.84968,-0.820601
3.39117,2.848,-0.826356
3.60328,2.84235,-0.857817
2.16724,2.91714,-0.71379
2.18392,2.90222,-0.713384
