x,y,z,cluster
2.15906,2.90613,-0.710948,22
2.19452,2.9163,-0.717037,22
2.53658,2.8995,-0.75905,22
2.56017,2.89048,-0.760876,22
2.58113,2.87836,-0.761891,22
3.18057,2.84252,-0.844698,22
3.2119,2.83526,-0.848554,22
3.24621,2.83029,-0.853222,22
2.12801,2.90138,-0.752761,22
2.13646,2.87572,-0.74932,22
2.1476,2.85397,-0.746954,22
2.16152,2.83608,-0.745664,22
2.20036,2.8506,-0.753407,22
2.25629,2.8863,-0.767171,22
2.28123,2.88159,-0.769752,22
2.33241,2.8731,-0.775344,22
2.36426,2.87609,-0.780291,22
2.39185,2.87354,-0.783732,22
2.68941,2.85515,-0.824167,22
2.72978,2.86263,-0.831479,22
2.75611,2.85496,-0.834275,22
1.80929,2.9727,-0.767418,22
1.83057,2.96651,-0.768774,22
1.82962,2.92467,-0.760413,22
1.85379,2.92326,-0.763124,22
1.86695,2.90446,-0.761091,22
1.89112,2.90274,-0.763802,22
1.91265,2.89677,-0.765384,22
1.93418,2.89065,-0.766966,22
2.03149,2.88052,-0.777812,22
2.05593,2.87751,-0.780524,22
2.0804,2.87431,-0.783236,22
2.10491,2.87092,-0.785947,22
2.13004,2.86811,-0.788885,22
2.15755,2.86822,-0.792727,22
2.18397,2.86655,-0.796116,22
2.21223,2.86698,-0.800184,22
2.31446,2.85191,-0.81216,22
2.34243,2.85045,-0.816002,22
2.37234,2.851,-0.820521,22
2.40297,2.85203,-0.825266,22
2.43307,2.85205,-0.829786,22
2.46008,2.84813,-0.833175,22
2.74039,2.80478,-0.869783,22
2.78016,2.81076,-0.87724,22
1.50778,2.94405,-0.769958,22
1.52492,2.93302,-0.769482,22
1.53836,2.91501,-0.767104,22
1.68903,2.89241,-0.780186,22
1.7107,2.88868,-0.782089,22
1.72989,2.88063,-0.782802,22
1.75208,2.87743,-0.784943,22
1.79601,2.86971,-0.788987,22
1.81827,2.86602,-0.791127,22
1.8639,2.85977,-0.795884,22
2.01771,2.85988,-0.817054,22
2.04313,2.85851,-0.820383,22
2.06803,2.85615,-0.823476,22
2.09413,2.85515,-0.827043,22
2.12029,2.85395,-0.830611,22
2.1471,2.85331,-0.834417,22
2.17516,2.85399,-0.838698,22
2.55508,2.78005,-0.884604,22
2.57804,2.77072,-0.886745,22
1.40564,2.8766,-0.781809,22
1.42671,2.87486,-0.783799,22
1.44476,2.86691,-0.784047,22
1.46408,2.86144,-0.785042,22
